Campaign_Date,Campaign_Name,Municipality_Key,CP,Municipality,Input_Parcels,API_Success_Rate,Unique_Individual_Owners,Unique_Company_Owners,High_Confidence_Direct_Mail,Agency_Required_Final,Interpolation_Risks_Detected,Category_A_Filter_Rate,Address_Geocoding_Success_Rate,Companies_With_PEC,PEC_Success_Rate,Hectares_Direct_Mail,Hectares_Agency_Required,Input_Area_Ha,After_API_Parcels,After_API_Area_Ha,Private_Owner_Parcels,Private_Owner_Area_Ha,Company_Owner_Parcels,Company_Owner_Area_Ha,After_CatA_Filter_Parcels,After_CatA_Filter_Area_Ha,Unique_Contacts_Generated,Direct_Mail_Final_Contacts,Direct_Mail_Final_Area_Ha,Agency_Final_Contacts,Agency_Final_Area_Ha,Campaign_Cost,Timeout_Requests,Successful_Recoveries,Recovery_Cost_Saved
2025-06-27,LandAcquisition_Casalpusterlengo_Castiglione_20250627_1236,Mun_001,Casalpusterlengo,Casalpusterlengo,2,100.0,1,0,2,1,1,25.0,100.0,0,0.0,13.46,6.73,10.82,2,10.82,2,10.82,0,0.0,2,10.82,3,2,6.736.73,1,6.73,6.900000000000006,0,0,0.0
2025-06-27,LandAcquisition_Casalpusterlengo_Castiglione_20250627_1236,Mun_002,Casalpusterlengo,Ospedaletto Lodigiano,3,100.0,2,0,4,0,0,16.666666666666664,100.0,0,0.0,71.08,0.0,33.67,3,33.67,3,33.67,0,0.0,3,33.67,4,4,17.7717.7717.7717.77,0,0,6.900000000000006,0,0,0.0
2025-06-27,LandAcquisition_Casalpusterlengo_Castiglione_20250627_1236,Mun_003,Castiglione,Carpenedolo,2,100.0,6,0,0,0,6,50.0,100.0,0,0.0,20.97,0.0,5.529999999999999,2,5.529999999999999,2,5.529999999999999,0,0.0,2,5.529999999999999,6,6,3.863.863.863.863.861.67,0,0,6.900000000000006,0,0,0.0
2025-06-27,LandAcquisition_Casalpusterlengo_Castiglione_20250627_1236,Mun_004,Castiglione,Castiglione Delle Stiviere,1,100.0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.61,1,1.61,1,1.61,0,0.0,0,0.0,0,0,0.0,0,0.0,6.900000000000006,0,0,0.0
2025-06-27,LandAcquisition_Casalpusterlengo_Castiglione_20250627_1236,Mun_005,Castiglione,Montichiari,2,100.0,3,0,0,1,2,100.0,100.0,0,0.0,5.92,2.96,5.3100000000000005,2,5.3100000000000005,2,5.3100000000000005,0,0.0,1,2.96,3,2,2.962.96,1,2.96,6.900000000000006,0,0,0.0
